"customer_id","order_count","aov","customer_segment"
184,"2","3438.60","Big_spenders"
87,"4","2277.34","Loyal_budget_users"
477,"3","2899.01","VIP_users"
273,"2","2659.08","Big_spenders"
394,"1","1927.56","At_risk"
51,"3","1984.55","Loyal_budget_users"
70,"3","3339.45","VIP_users"
190,"3","999.66","Loyal_budget_users"
350,"2","2651.12","Big_spenders"
278,"1","1276.63","At_risk"
424,"1","3498.62","Big_spenders"
406,"7","2299.02","Loyal_budget_users"
176,"4","2291.68","Loyal_budget_users"
309,"3","2535.84","VIP_users"
292,"5","2430.85","Loyal_budget_users"
22,"2","1589.86","At_risk"
271,"4","1877.11","Loyal_budget_users"
156,"1","4321.89","Big_spenders"
417,"4","3335.22","VIP_users"
475,"1","3571.21","Big_spenders"
282,"3","3535.97","VIP_users"
390,"7","2173.58","Loyal_budget_users"
173,"2","1648.61","At_risk"
269,"2","3100.56","Big_spenders"
261,"2","1741.73","At_risk"
42,"5","2059.45","Loyal_budget_users"
189,"6","1645.93","Loyal_budget_users"
161,"5","3093.23","VIP_users"
117,"3","3438.95","VIP_users"
257,"1","3625.16","Big_spenders"
113,"2","2504.34","Big_spenders"
125,"2","3049.40","Big_spenders"
40,"3","2325.84","Loyal_budget_users"
43,"2","3199.51","Big_spenders"
440,"5","2776.39","VIP_users"
349,"2","2510.20","Big_spenders"
187,"4","2233.37","Loyal_budget_users"
57,"1","4856.44","Big_spenders"
19,"3","2204.11","Loyal_budget_users"
160,"2","4810.75","Big_spenders"
357,"5","1395.75","Loyal_budget_users"
242,"3","2832.57","VIP_users"
331,"1","2589.79","Big_spenders"
266,"6","1751.30","Loyal_budget_users"
315,"3","2801.02","VIP_users"
366,"3","1581.03","Loyal_budget_users"
307,"3","1864.24","Loyal_budget_users"
91,"3","817.52","Loyal_budget_users"
305,"1","1414.71","At_risk"
29,"2","3486.26","Big_spenders"
54,"1","2457.58","Big_spenders"
4,"4","1570.85","Loyal_budget_users"
181,"2","3306.76","Big_spenders"
466,"4","4112.19","VIP_users"
201,"4","4320.82","VIP_users"
10,"5","2237.29","Loyal_budget_users"
35,"5","2973.73","VIP_users"
6,"3","3127.85","VIP_users"
107,"4","2228.35","Loyal_budget_users"
446,"2","865.66","At_risk"
86,"4","3212.90","VIP_users"
400,"1","4708.99","Big_spenders"
219,"1","4321.90","Big_spenders"
175,"1","2109.07","At_risk"
241,"6","1802.86","Loyal_budget_users"
363,"3","1813.96","Loyal_budget_users"
285,"4","945.99","Loyal_budget_users"
50,"1","1385.56","At_risk"
231,"1","2113.59","At_risk"
66,"1","3532.33","Big_spenders"
340,"2","2906.11","Big_spenders"
356,"1","1740.65","At_risk"
13,"5","2435.40","VIP_users"
391,"1","4361.90","Big_spenders"
458,"2","3175.92","Big_spenders"
414,"1","1891.04","At_risk"
487,"7","2701.95","VIP_users"
2,"1","3106.51","Big_spenders"
368,"1","1093.85","At_risk"
246,"3","3033.26","VIP_users"
75,"4","3144.10","VIP_users"
128,"1","759.13","At_risk"
166,"3","1722.11","Loyal_budget_users"
344,"5","2274.46","Loyal_budget_users"
142,"2","2118.22","At_risk"
152,"2","2999.47","Big_spenders"
410,"3","3339.59","VIP_users"
428,"2","3289.36","Big_spenders"
355,"2","2064.92","At_risk"
222,"4","2466.27","VIP_users"
381,"2","508.98","At_risk"
38,"2","3500.87","Big_spenders"
359,"1","1549.88","At_risk"
193,"3","2314.17","Loyal_budget_users"
164,"3","2483.15","VIP_users"
453,"4","2908.81","VIP_users"
217,"1","4564.07","Big_spenders"
186,"2","1352.86","At_risk"
47,"1","2021.28","At_risk"
177,"1","2841.66","Big_spenders"
182,"4","1697.99","Loyal_budget_users"
18,"1","1549.76","At_risk"
110,"2","714.12","At_risk"
145,"4","3236.41","VIP_users"
27,"4","2721.46","VIP_users"
143,"4","2136.82","Loyal_budget_users"
496,"2","2750.88","Big_spenders"
58,"3","1999.02","Loyal_budget_users"
228,"1","2580.72","Big_spenders"
485,"5","2610.37","VIP_users"
294,"4","1881.98","Loyal_budget_users"
229,"3","2533.80","VIP_users"
304,"2","777.98","At_risk"
52,"2","3762.67","Big_spenders"
438,"3","2962.59","VIP_users"
382,"3","1692.43","Loyal_budget_users"
258,"2","3165.36","Big_spenders"
341,"2","1067.94","At_risk"
378,"3","2495.27","VIP_users"
483,"3","2891.92","VIP_users"
450,"3","2538.66","VIP_users"
405,"3","3832.57","VIP_users"
84,"4","3229.26","VIP_users"
170,"3","1948.56","Loyal_budget_users"
192,"8","1280.29","Loyal_budget_users"
276,"3","2141.88","Loyal_budget_users"
101,"4","2560.39","VIP_users"
473,"2","2951.21","Big_spenders"
69,"3","3008.05","VIP_users"
379,"3","1047.10","Loyal_budget_users"
320,"4","1699.66","Loyal_budget_users"
375,"1","2784.09","Big_spenders"
115,"2","653.38","At_risk"
97,"1","2176.08","At_risk"
415,"2","3400.02","Big_spenders"
108,"2","1792.78","At_risk"
408,"3","3793.08","VIP_users"
59,"1","2793.50","Big_spenders"
127,"5","3292.93","VIP_users"
329,"3","1505.05","Loyal_budget_users"
44,"1","890.70","At_risk"
11,"6","2092.01","Loyal_budget_users"
401,"5","2212.31","Loyal_budget_users"
153,"6","4017.46","VIP_users"
279,"4","1618.52","Loyal_budget_users"
214,"1","1736.06","At_risk"
9,"3","1420.57","Loyal_budget_users"
419,"1","2683.75","Big_spenders"
457,"3","1795.10","Loyal_budget_users"
85,"4","3588.26","VIP_users"
281,"1","2350.99","At_risk"
95,"1","1314.04","At_risk"
259,"4","3643.39","VIP_users"
172,"4","2668.94","VIP_users"
302,"4","1783.00","Loyal_budget_users"
409,"1","2948.21","Big_spenders"
30,"5","2574.39","VIP_users"
21,"2","1944.31","At_risk"
288,"3","1947.04","Loyal_budget_users"
3,"1","4466.51","Big_spenders"
324,"2","2844.21","Big_spenders"
398,"6","2223.10","Loyal_budget_users"
249,"4","3236.74","VIP_users"
255,"3","761.87","Loyal_budget_users"
388,"3","2857.36","VIP_users"
165,"1","1088.02","At_risk"
